id,name,type,district,revenue,employees,established_year
47,ジム・パワー,フィットネス,目黒区,4200000,6,2023
48,銀行・セーフティ,銀行,杉並区,48000000,48,2012
49,不動産・エステート,不動産,練馬区,13000000,19,2018
50,法律事務所・ロイヤー,法律,江東区,16000000,14,2015
51,大学・カレッジ,教育,墨田区,70000000,160,2007
52,コンサル・マネジメント,コンサル,台東区,32000000,32,2014
53,保険・ガード,保険,文京区,24000000,48,2013
54,編集・デジタル,出版,千代田区,8500000,16,2019
55,工場・ファクトリー,製造,豊島区,17000000,40,2010
56,スーパー・ストア,小売,北区,19000000,48,2017
57,タクシー・ライド,運輸,板橋区,11000000,28,2018
58,レストラン・中華,レストラン,足立区,9500000,18,2021
59,カフェ・ラテ,カフェ,葛飾区,4200000,6,2022
60,美容院・ビューティ,美容院,江戸川区,6800000,9,2020
61,コンビニ・ストア,コンビニ,中央区,9200000,15,2023
62,書店・ライブラリー,書店,港区,3800000,6,2021
63,薬局・メディカル,薬局,新宿区,4800000,5,2019
64,クリニック・クリニック,病院,渋谷区,18000000,20,2017
65,保育園・ナーサリー,保育園,品川区,8000000,19,2021
66,ジム・フィットネス,フィットネス,世田谷区,3800000,5,2024
67,銀行・バンク,銀行,目黒区,52000000,52,2013
68,不動産・リアルエステート,不動産,杉並区,15000000,22,2019
69,法律事務所・ロー,法律,練馬区,19000000,16,2016
70,大学・スクール,教育,江東区,65000000,140,2008
71,コンサル・アドバイザリー,コンサル,墨田区,28000000,28,2015
72,保険・インシュアランス,保険,台東区,26000000,52,2014
73,編集・パブリッシング,出版,文京区,7500000,14,2020
74,工場・インダストリー,製造,千代田区,18000000,42,2011
75,スーパー・マーケットプレイス,小売,豊島区,21000000,55,2018
76,タクシー・キャブ,運輸,北区,14000000,35,2019
77,レストラン・イタリアン,レストラン,板橋区,12000000,24,2022
78,カフェ・カプチーノ,カフェ,足立区,4000000,5,2023
79,美容院・サロン,美容院,葛飾区,7200000,10,2021
80,コンビニ・コンビニエンスストア,コンビニ,江戸川区,8800000,16,2024
81,書店・ブックストア,書店,中央区,3400000,3,2022
82,薬局・ファーマシーストア,薬局,港区,4600000,4,2020
83,クリニック・メディカルセンター,病院,新宿区,16000000,18,2018
84,保育園・チャイルドケア,保育園,渋谷区,7500000,17,2022
85,ジム・ヘルス,フィットネス,品川区,3500000,4,2025
86,銀行・フィナンシャル,銀行,世田谷区,55000000,55,2014
87,不動産・プロパティマネジメント,不動産,目黒区,16000000,24,2020
88,法律事務所・リーガルサービス,法律,杉並区,20000000,18,2017
89,大学・インスティテュート,教育,練馬区,60000000,120,2009
90,コンサル・ビジネス,コンサル,江東区,25000000,25,2016
91,保険・プロテクション,保険,墨田区,28000000,56,2015
92,編集・メディアプロダクション,出版,台東区,7000000,12,2021
93,工場・マニュファクチャリング,製造,文京区,19000000,44,2012
94,スーパー・フードマーケット,小売,千代田区,22000000,60,2019
95,タクシー・トランスポーテーション,運輸,豊島区,15000000,38,2020
96,レストラン・フレンチ,レストラン,北区,13000000,26,2023
97,カフェ・アメリカーノ,カフェ,板橋区,3600000,4,2024
98,美容院・ヘアサロン,美容院,足立区,7500000,11,2022
99,コンビニ・コンビニエンスチェーン,コンビニ,葛飾区,9500000,18,2025
100,書店・ブックショップ,書店,江戸川区,3000000,2,2023
